x_pos,y_pos,time
238.2,241.0,0.0
240.2,241.0,0.03928515600000537
241.2,241.0,0.07925263799916138
243.2,241.0,0.167277546999685
243.2,242.0,0.19095523599935404
245.2,243.0,0.19889632899958087
245.2,244.0,0.20697627299978194
246.2,245.0,0.2149171999999453
247.2,246.0,0.22300556999925902
248.2,250.0,0.23899027399966144
248.2,252.0,0.2501749299999574
249.2,254.0,0.2549906819995158
249.2,257.0,0.2629929969998557
249.2,260.0,0.27158743599920854
249.2,262.0,0.27891733099932026
249.2,263.0,0.2883203549999962
249.2,265.0,0.2949083129997234
248.2,266.0,0.3032960129994535
248.2,267.0,0.31091460900006496
247.2,268.0,0.31928697700004705
245.2,269.0,0.33499781299997267
244.2,269.0,0.3516319369991834
243.2,269.0,0.3589089809993311
241.2,268.0,0.3672134599992205
240.2,268.0,0.3749530919994868
238.2,267.0,0.3830009439998321
236.2,266.0,0.3911515350000627
234.2,266.0,0.39891718499984563
230.2,266.0,0.4069730179999169
226.2,266.0,0.4151092769998286
220.2,267.0,0.42619876699973247
218.2,269.0,0.4359158439992825
216.2,269.0,0.43911540699991747
214.2,270.0,0.4468959639998502
214.2,271.0,0.4590884809995259
213.2,269.0,0.5197468839996873
213.2,267.0,0.5352386479999041
213.2,265.0,0.5545849139998609
213.2,263.0,0.5590112069994575
213.2,260.0,0.5670363179997366
212.2,258.0,0.5751307239997914
211.2,254.0,0.5832100199995693
211.2,252.0,0.591344611999375
211.2,248.0,0.5989390229997298
211.2,246.0,0.6074552589998348
211.2,243.0,0.6149297829997522
211.2,240.0,0.623190983999848
213.2,236.0,0.6313388720000148
214.2,234.0,0.6393299279998246
216.2,230.0,0.6469397829996524
217.2,228.0,0.6552051509997909
218.2,224.0,0.6629083389998414
220.2,222.0,0.6712080219995187
220.2,220.0,0.6806801939992511
222.2,217.0,0.6872676509992743
223.2,215.0,0.6951043569997637
225.2,212.0,0.7034530939999968
226.2,210.0,0.7138231279996035
227.2,209.0,0.722202754999671
229.2,206.0,0.7270694869994259
231.2,204.0,0.7351695979996293
233.2,202.0,0.7429491179991601
234.2,200.0,0.7512010049995297
236.2,196.0,0.7594567249998363
238.2,194.0,0.7676623899997139
239.2,192.0,0.7751419689993782
240.2,190.0,0.7833552639995105
242.2,188.0,0.7909846379998271
242.2,187.0,0.7992136909997498
244.2,185.0,0.8070105269998749
248.2,180.0,0.8149293239994222
250.2,179.0,0.8232099699998798
253.2,177.0,0.8311382109995975
256.2,176.0,0.8392274139996516
258.2,175.0,0.8471438970000236
262.2,174.0,0.8549971569991612
264.2,172.0,0.8631307119994744
266.2,172.0,0.8712773399993239
270.2,171.0,0.8791554899999028
271.2,170.0,0.8873602469993784
273.2,170.0,0.8949492699994153
275.2,169.0,0.9032579889999397
277.2,168.0,0.9110505099997681
281.2,168.0,0.919216860999768
283.2,168.0,0.9269448259992714
285.2,168.0,0.9351828059998297
288.2,169.0,0.9429685119994247
290.2,170.0,0.9513419339991742
291.2,171.0,0.9590663809995021
293.2,173.0,0.9672221579994584
294.2,174.0,0.9753476010000668
296.2,177.0,0.9831642699991789
299.2,178.0,0.9909752529993057
300.2,180.0,0.9992122879993985
301.2,183.0,1.0069819199998165
304.2,186.0,1.0151440489999004
306.2,191.0,1.0230011799994827
306.2,193.0,1.0311466599996493
307.2,195.0,1.0393428249999488
307.2,199.0,1.046946365999247
308.2,202.0,1.0552663259995825
308.2,204.0,1.0629479039998841
309.2,208.0,1.0712325489994328
309.2,213.0,1.079143438999381
309.2,217.0,1.087280770999314
309.2,221.0,1.09708745899934
309.2,226.0,1.104767240000001
309.2,230.0,1.1148640349993002
309.2,235.0,1.124835442999938
307.2,241.0,1.1405412979993343
307.2,241.0,1.1476331949997984
307.2,243.0,1.149386752999817
307.2,249.0,1.1604536879995067
307.2,249.0,1.1722719119998146
307.2,251.0,1.1738290829998732
307.2,253.0,1.1803639489999114
305.2,255.0,1.1845237809993705
305.2,257.0,1.1924031889993785
304.2,260.0,1.1994850309993126
303.2,262.0,1.2071805899995525
303.2,264.0,1.2151520349998464
302.2,268.0,1.2237640289995397
301.2,270.0,1.2317953809997562
300.2,274.0,1.2392445159994168
300.2,276.0,1.247183554000003
300.2,280.0,1.255086702999506
300.2,284.0,1.263157702999706
299.2,286.0,1.2714093859995046
298.2,288.0,1.2809070199991766
298.2,292.0,1.2872509619992343
297.2,295.0,1.295147017999625
297.2,298.0,1.3035346259994185
295.2,300.0,1.313970530000006
294.2,303.0,1.3221442320000278
293.2,305.0,1.3271212049994574
292.2,309.0,1.3354069059996618
290.2,311.0,1.3451458899999125
287.2,313.0,1.3516208299997743
285.2,315.0,1.3593439070000386
283.2,317.0,1.371407220999572
279.2,319.0,1.3805474889995821
276.2,319.0,1.3893202409999503
273.2,321.0,1.3911578349998308
271.2,321.0,1.4006546179998622
269.2,322.0,1.4090079109992075
267.2,322.0,1.4149770409994744
265.2,322.0,1.4232746679999764
263.2,323.0,1.4309687830000257
261.2,323.0,1.4392222989999937
259.2,323.0,1.4469740239992461
255.2,324.0,1.4552192989995092
253.2,324.0,1.464200215999881
250.2,324.0,1.4712925579997318
248.2,325.0,1.4792639659999622
246.2,326.0,1.4875167419995705
244.2,326.0,1.4950035429992568
242.2,326.0,1.5034873539998443
240.2,326.0,1.5110014140000203
238.2,327.0,1.5210133209993728
235.2,327.0,1.527471816999423
233.2,329.0,1.535356595999474
231.2,329.0,1.5455062989994985
227.2,329.0,1.5514948359996197
223.2,329.0,1.559185375999732
218.2,330.0,1.567256764999911
214.2,331.0,1.5778972219995921
208.2,331.0,1.586232366999866
203.2,331.0,1.5967141959999935
197.2,331.0,1.6047908069995174
193.2,331.0,1.6144524769997588
188.2,331.0,1.6224108110000088
184.2,331.0,1.6323185339997508
184.2,331.0,1.6404536809995989
182.2,329.0,1.6421476659998007
180.2,329.0,1.650429644999349
178.2,327.0,1.6552842109995254
176.2,327.0,1.6631881749999593
173.2,325.0,1.6713361179999993
171.2,325.0,1.67918286099939
168.2,323.0,1.687358932999814
165.2,321.0,1.6951700459994754
163.2,319.0,1.7126516809994428
161.2,319.0,1.719676523999624
160.2,317.0,1.7272073059994
158.2,315.0,1.7352915279998342
157.2,314.0,1.7431572139994387
154.2,310.0,1.7511560849998205
153.2,308.0,1.7591629739999917
151.2,306.0,1.767259565999666
147.2,303.0,1.7750110869992568
145.2,299.0,1.7832963069995458
143.2,296.0,1.7914647869993132
140.2,292.0,1.7993481579997024
139.2,288.0,1.8078238579992103
136.2,284.0,1.8169161259993416
134.2,279.0,1.8251378459999614
132.2,277.0,1.834587461999945
130.2,274.0,1.8431651799992324
128.2,271.0,1.8523206139998365
126.19999999999999,268.0,1.8551475129997925
125.19999999999999,266.0,1.8632068829992932
124.19999999999999,264.0,1.871383770999273
124.19999999999999,262.0,1.8789896259995658
122.19999999999999,260.0,1.8872355690000404
122.19999999999999,256.0,1.894982811999398
122.19999999999999,255.0,1.9032498099995792
120.19999999999999,250.0,1.910991682999338
120.19999999999999,246.0,1.9192469579993485
120.19999999999999,243.0,1.9288302959994326
120.19999999999999,239.0,1.9372696619993803
120.19999999999999,234.0,1.9473629029998847
120.19999999999999,227.0,1.9552719220000654
120.19999999999999,222.0,1.9651268129991877
120.19999999999999,214.0,1.9733840700000655
120.19999999999999,206.0,1.9831089059998703
121.19999999999999,199.0,1.9913530699996045
121.19999999999999,186.0,2.000842389999889
121.19999999999999,186.0,2.00897311099925
121.19999999999999,179.0,2.0106597809999585
122.19999999999999,171.0,2.0184911719998127
122.19999999999999,164.0,2.02682248399924
122.19999999999999,158.0,2.0360356389992376
122.19999999999999,151.0,2.044133064999187
122.19999999999999,147.0,2.0536609209993912
122.19999999999999,142.0,2.0618066979996
122.19999999999999,139.0,2.063458126999649
123.19999999999999,135.0,2.0714041459996224
124.19999999999999,132.0,2.0789986319996387
124.19999999999999,129.0,2.0872314439993715
125.19999999999999,124.0,2.094999891000043
126.19999999999999,122.0,2.1032339079993108
128.2,119.0,2.112904689000061
129.2,116.0,2.1193209069997465
131.2,114.0,2.1271824269997524
135.2,111.0,2.135356777999732
138.2,108.0,2.1431954279996717
141.2,106.0,2.151275297999746
145.2,103.0,2.1590114669998
151.2,98.0,2.167278723999516
155.2,96.0,2.175505741000052
159.2,95.0,2.18359510999926
164.2,91.0,2.194333307999841
170.2,90.0,2.202615767999305
175.2,88.0,2.2129690239999036
181.2,86.0,2.221155577999525
189.2,85.0,2.2308793959991817
197.2,84.0,2.2387311200000113
210.2,82.0,2.248585546999493
210.2,82.0,2.2567763239994747
216.2,82.0,2.2584517529994628
221.2,82.0,2.2667894719998003
224.2,82.0,2.2749885260000156
228.2,82.0,2.284603993000019
232.2,82.0,2.287178579999818
235.2,82.0,2.2952818569992814
239.2,82.0,2.3036216499995135
243.2,84.0,2.311016859999654
248.2,85.0,2.319267635999495
254.2,86.0,2.3290402859993264
